config,fitness
"[7, 0, 5, 6, 3, 4, 1, 2]",0.067
"[1, 0, 7, 2, 5, 4, 3, 6]",0.067
"[1, 2, 3, 0, 5, 4, 7, 6]",0.067
"[0, 5, 6, 3, 4, 1, 2, 7]",0.067
"[1, 0, 3, 6, 5, 4, 7, 2]",0.067
"[7, 0, 1, 2, 3, 6, 5, 4]",0.067
"[6, 7, 4, 3, 2, 5, 0, 1]",0.067
"[0, 7, 2, 1, 4, 3, 6, 5]",0.067
"[0, 3, 2, 1, 6, 5, 4, 7]",0.067
"[5, 6, 7, 4, 3, 0, 1, 2]",0.067
"[0, 5, 6, 3, 4, 1, 2, 7]",0.067
"[0, 5, 6, 3, 4, 1, 2, 7]",0.067
"[0, 3, 6, 5, 4, 7, 2, 1]",0.067
"[4, 7, 6, 5, 2, 3, 0, 1]",0.067
"[6, 5, 4, 3, 0, 1, 2, 7]",0.067
"[7, 4, 1, 2, 3, 0, 5, 6]",0.067
"[6, 5, 0, 3, 2, 1, 4, 7]",0.067
"[5, 4, 3, 6, 1, 0, 7, 2]",0.067
"[0, 3, 6, 5, 4, 7, 2, 1]",0.067
"[1, 0, 3, 2, 7, 6, 5, 4]",0.067
"[1, 0, 5, 4, 3, 2, 7, 6]",0.067
"[6, 1, 4, 3, 2, 7, 0, 5]",0.067
"[1, 0, 5, 4, 3, 2, 7, 6]",0.067
"[2, 7, 0, 5, 6, 3, 4, 1]",0.067
"[1, 0, 7, 2, 5, 4, 3, 6]",0.067
"[6, 3, 0, 1, 2, 7, 4, 5]",0.067
"[2, 7, 0, 5, 6, 3, 4, 1]",0.067
"[2, 1, 0, 3, 4, 7, 6, 5]",0.067
"[5, 6, 7, 4, 3, 0, 1, 2]",0.067
"[7, 6, 1, 0, 3, 2, 5, 4]",0.067
"[1, 0, 5, 4, 3, 2, 7, 6]",0.067
"[5, 0, 7, 2, 1, 4, 3, 6]",0.067
"[1, 0, 3, 4, 5, 2, 7, 6]",0.067
"[2, 5, 4, 7, 6, 1, 0, 3]",0.067
"[6, 3, 0, 1, 2, 7, 4, 5]",0.067
"[1, 4, 7, 6, 5, 0, 3, 2]",0.067
"[1, 2, 7, 4, 5, 6, 3, 0]",0.067
"[0, 5, 6, 3, 4, 1, 2, 7]",0.067
"[5, 6, 7, 4, 3, 0, 1, 2]",0.067
"[0, 7, 6, 5, 4, 1, 2, 3]",0.067
"[5, 6, 7, 2, 3, 4, 1, 0]",0.067
"[3, 2, 1, 0, 5, 6, 7, 4]",0.067
"[0, 3, 2, 1, 4, 7, 6, 5]",0.067
"[7, 2, 1, 0, 3, 4, 5, 6]",0.067
"[4, 5, 6, 7, 2, 1, 0, 3]",0.067
"[0, 7, 2, 1, 4, 3, 6, 5]",0.067
"[1, 2, 7, 0, 5, 6, 3, 4]",0.067
"[4, 5, 6, 7, 0, 3, 2, 1]",0.067
"[5, 6, 3, 4, 7, 2, 1, 0]",0.071
"[7, 6, 5, 0, 3, 4, 1, 2]",0.071
"[6, 1, 2, 3, 0, 5, 4, 7]",0.071
"[5, 4, 3, 2, 7, 0, 1, 6]",0.071
"[7, 0, 1, 2, 5, 4, 3, 6]",0.071
"[7, 6, 1, 4, 5, 2, 3, 0]",0.071
"[0, 7, 2, 3, 4, 1, 6, 5]",0.071
"[0, 7, 2, 3, 4, 1, 6, 5]",0.071
"[0, 3, 2, 7, 4, 5, 6, 1]",0.071
"[0, 7, 6, 5, 2, 3, 4, 1]",0.071
"[2, 1, 6, 3, 4, 5, 0, 7]",0.071
"[2, 5, 4, 3, 6, 7, 0, 1]",0.071
"[5, 6, 7, 2, 1, 0, 3, 4]",0.071
"[2, 3, 6, 5, 4, 7, 0, 1]",0.071
"[7, 0, 1, 6, 5, 4, 3, 2]",0.071
"[0, 7, 6, 5, 2, 3, 4, 1]",0.071
"[1, 6, 7, 4, 3, 2, 5, 0]",0.071
"[7, 4, 5, 0, 3, 2, 1, 6]",0.071
"[7, 6, 1, 4, 5, 2, 3, 0]",0.071
"[5, 6, 7, 0, 1, 4, 3, 2]",0.071
"[6, 1, 0, 7, 2, 3, 4, 5]",0.071
"[2, 3, 6, 5, 4, 7, 0, 1]",0.071
"[6, 1, 0, 3, 4, 5, 2, 7]",0.071
"[6, 3, 4, 5, 2, 1, 0, 7]",0.071
"[7, 6, 5, 0, 3, 4, 1, 2]",0.071
"[7, 4, 3, 2, 1, 0, 5, 6]",0.071
"[5, 6, 7, 2, 1, 0, 3, 4]",0.071
"[1, 2, 3, 6, 5, 4, 7, 0]",0.071
"[6, 3, 4, 5, 2, 1, 0, 7]",0.071
"[2, 3, 6, 5, 4, 7, 0, 1]",0.071
"[5, 4, 3, 2, 7, 0, 1, 6]",0.071
"[7, 6, 5, 0, 3, 4, 1, 2]",0.071
"[2, 5, 4, 3, 6, 7, 0, 1]",0.071
"[5, 4, 3, 2, 1, 6, 7, 0]",0.071
"[4, 1, 0, 3, 2, 5, 6, 7]",0.071
"[7, 2, 5, 6, 3, 4, 1, 0]",0.071
"[2, 1, 4, 3, 0, 5, 6, 7]",0.071
"[6, 1, 2, 3, 0, 5, 4, 7]",0.071
"[6, 7, 0, 1, 4, 3, 2, 5]",0.071
"[2, 1, 4, 3, 0, 5, 6, 7]",0.071
"[6, 5, 4, 1, 2, 3, 0, 7]",0.071
"[2, 3, 4, 5, 0, 7, 6, 1]",0.071
"[2, 1, 0, 7, 6, 3, 4, 5]",0.071
"[0, 3, 2, 7, 4, 5, 6, 1]",0.071
"[1, 2, 7, 6, 5, 4, 3, 0]",0.071
"[1, 0, 7, 4, 5, 6, 3, 2]",0.071
"[7, 0, 1, 6, 5, 4, 3, 2]",0.071
"[0, 3, 2, 5, 4, 1, 6, 7]",0.071
"[1, 0, 7, 6, 3, 4, 5, 2]",0.071
"[7, 0, 1, 2, 5, 4, 3, 6]",0.071
"[0, 7, 6, 1, 2, 3, 4, 5]",0.071
"[5, 2, 3, 4, 1, 0, 7, 6]",0.071
"[6, 7, 0, 3, 2, 1, 4, 5]",0.071
"[7, 4, 5, 2, 3, 6, 1, 0]",0.071
"[6, 3, 4, 5, 2, 1, 0, 7]",0.071
"[2, 3, 4, 1, 0, 7, 6, 5]",0.071
"[7, 0, 5, 6, 3, 2, 1, 4]",0.071
"[6, 7, 0, 3, 2, 1, 4, 5]",0.071
"[4, 1, 0, 3, 2, 5, 6, 7]",0.071
"[5, 4, 3, 2, 1, 6, 7, 0]",0.071
"[0, 7, 6, 1, 2, 3, 4, 5]",0.071
"[1, 6, 5, 4, 7, 2, 3, 0]",0.071
"[7, 4, 3, 2, 1, 0, 5, 6]",0.071
"[2, 3, 4, 5, 6, 1, 0, 7]",0.071
"[0, 7, 2, 1, 4, 5, 6, 3]",0.071
"[6, 3, 4, 5, 2, 1, 0, 7]",0.071
"[3, 6, 7, 4, 5, 2, 1, 0]",0.071
"[7, 0, 3, 2, 1, 4, 5, 6]",0.071
"[4, 5, 6, 3, 0, 1, 2, 7]",0.077
"[3, 6, 1, 0, 7, 2, 5, 4]",0.077
"[6, 5, 4, 3, 2, 7, 1, 0]",0.077
"[1, 0, 4, 2, 3, 7, 5, 6]",0.077
"[0, 5, 6, 7, 4, 1, 2, 3]",0.077
"[2, 7, 0, 1, 4, 3, 6, 5]",0.077
"[1, 5, 3, 4, 2, 6, 7, 0]",0.077
"[0, 2, 3, 4, 5, 6, 1, 7]",0.077
"[7, 5, 6, 0, 1, 2, 3, 4]",0.077
"[6, 1, 0, 7, 2, 5, 4, 3]",0.077
"[6, 1, 0, 7, 2, 5, 4, 3]",0.077
"[4, 5, 2, 7, 0, 1, 6, 3]",0.077
"[3, 4, 5, 2, 7, 0, 1, 6]",0.077
"[7, 6, 5, 4, 0, 1, 2, 3]",0.077
"[0, 3, 4, 1, 2, 7, 6, 5]",0.077
"[0, 1, 2, 3, 7, 6, 5, 4]",0.077
"[6, 0, 4, 3, 2, 1, 5, 7]",0.077
"[1, 3, 2, 4, 5, 6, 7, 0]",0.077
"[7, 1, 6, 5, 4, 3, 2, 0]",0.077
"[1, 2, 0, 4, 3, 6, 7, 5]",0.077
"[3, 2, 1, 0, 4, 5, 6, 7]",0.077
"[4, 5, 2, 7, 0, 1, 6, 3]",0.077
"[5, 6, 3, 4, 1, 0, 7, 2]",0.077
"[1, 7, 3, 4, 5, 6, 2, 0]",0.077
"[6, 3, 4, 7, 2, 1, 0, 5]",0.077
"[6, 5, 0, 7, 2, 3, 4, 1]",0.077
"[3, 6, 5, 4, 7, 0, 1, 2]",0.077
"[6, 1, 0, 3, 2, 7, 4, 5]",0.077
"[3, 4, 5, 6, 7, 2, 0, 1]",0.077
"[1, 2, 3, 4, 6, 5, 7, 0]",0.077
"[1, 2, 3, 4, 5, 7, 6, 0]",0.077
"[2, 5, 0, 7, 6, 1, 4, 3]",0.077
"[6, 5, 7, 0, 1, 2, 3, 4]",0.077
"[0, 1, 2, 3, 7, 6, 5, 4]",0.077
"[1, 3, 2, 4, 5, 6, 7, 0]",0.077
"[0, 7, 5, 6, 4, 3, 2, 1]",0.077
"[7, 3, 4, 5, 6, 2, 1, 0]",0.077
"[4, 3, 2, 1, 0, 6, 5, 7]",0.077
"[4, 0, 1, 7, 3, 2, 5, 6]",0.077
"[1, 2, 0, 4, 5, 3, 7, 6]",0.077
"[1, 0, 2, 7, 6, 5, 4, 3]",0.077
"[2, 0, 1, 5, 3, 4, 7, 6]",0.077
"[1, 5, 3, 4, 2, 6, 7, 0]",0.077
"[6, 5, 7, 0, 1, 2, 3, 4]",0.077
"[2, 7, 6, 5, 0, 3, 4, 1]",0.077
"[0, 5, 6, 7, 4, 1, 2, 3]",0.077
"[0, 6, 2, 4, 3, 5, 1, 7]",0.077
"[4, 7, 0, 5, 6, 3, 2, 1]",0.077
"[7, 0, 4, 2, 3, 1, 5, 6]",0.077
"[4, 0, 1, 7, 3, 2, 5, 6]",0.077
